"d_relationship","d_gender","d_orientation","d_age","d_country","d_ethnicity","lf_for","lf_single","lf_want","AttachmnetStyle","mono","long","relationships","family","anx","avoid"
"Single","Woman","Straight",20,"UK","White","For  new friends","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",35,"Australia","White","For  long-term dating, short-term dating","Who are single","Men who like women","avoidant",0.807692307692308,0.783333333333333,0.80952380952381,0.788461538461538,0,0.0416666666666667
"Single","Man","Straight",35,"ME",NA,"For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.576923076923077,0.816666666666667,0.761904761904762,0.865384615384615,0.0357142857142857,0
"Single","Man","Straight",45,"CA",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",25,"NC","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0
"Single","Woman","Bisexual",22,"NY","White","For  new friends","Who are single","Men","secure",0.769230769230769,0.816666666666667,0.821428571428571,0.865384615384615,0,0.125
"Single","Woman","Bisexual",21,"NY","Black, Hispanic / Latin","For  new friends, long-term dating, short-term dating","Who are single","Everyone","secure",0.846153846153846,0.883333333333333,0.892857142857143,0.865384615384615,0,0
"Single","Man","Straight",26,"NY",NA,"For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.807692307692308,0.883333333333333,0.880952380952381,0.788461538461538,0,0
"Single","Woman","Straight",25,"Serbia","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",1,0.916666666666667,0.964285714285714,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",27,"OK","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",27,"CA","White","For  new friends, long-term dating","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",26,"Ontario","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.807692307692308,0.916666666666667,0.904761904761905,0.865384615384615,0,0
"Single","Woman","Straight",23,"Dominican Republic","Black","For  new friends","Who are single","Men","anxious",0.769230769230769,0.883333333333333,0.869047619047619,0.826923076923077,0.0714285714285714,0
"Single","Man","Straight",22,"NY","Black","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.884615384615385,0.916666666666667,0.928571428571429,0.865384615384615,0,0
"Single","Man","Straight",27,"NY","White","For  long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.9,0.928571428571429,0.865384615384615,0,0
"Single","Woman","Straight",58,"NY","White","For  new friends, long-term dating, short-term dating","Who are single","Men","avoidant",0.307692307692308,0.416666666666667,0.392857142857143,0.519230769230769,0.0714285714285714,0.291666666666667
"Single","Woman","Straight",32,"WA",NA,"For  long-term dating, short-term dating","Who are single","Men","anxious",0.846153846153846,0.8,0.833333333333333,0.826923076923077,0,0
"Single","Woman","Bisexual",30,"MA","White","For  new friends, long-term dating, short-term dating","Who are single","Everyone","secure",0.730769230769231,0.85,0.833333333333333,0.865384615384615,0.0714285714285714,0.0833333333333333
"Single","Woman","Gay",31,"France",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",41,"UK","White","For  new friends","Who are single","Women","fearful",0.923076923076923,0.933333333333333,0.952380952380952,0.788461538461538,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",43,"CT","White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.961538461538462,0.916666666666667,0.952380952380952,0.75,0,0
"Single","Woman","Bisexual",36,"Sweden","White","For  new friends","Who are single","Everyone","anxious",0.807692307692308,0.8,0.821428571428571,0.673076923076923,0,0
"Single","Woman","Straight",32,"Germany","White","For  long-term dating, short-term dating","Who are single","Everybody","anxious",0.730769230769231,0.75,0.761904761904762,0.788461538461538,0,0
"Single","Man","Straight",55,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.961538461538462,0.866666666666667,0.916666666666667,0.826923076923077,0,0.166666666666667
"Single","Man","Gay",38,"WA","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Men","secure",0.846153846153846,0.9,0.904761904761905,0.865384615384615,0,0
"Single","Woman","Straight",31,"MD","Black","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.884615384615385,0.9,0.916666666666667,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",32,"France",NA,"For  new friends, long-term dating","Who are single","Women","avoidant",0.961538461538462,0.866666666666667,0.892857142857143,0.5,0.0714285714285714,0.333333333333333
"Single","Man","Straight",39,"GA","White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.384615384615385,0.433333333333333,0.428571428571429,0.807692307692308,0,0
"Single","Man","Straight",45,"CO","White","For  long-term dating, short-term dating","Who are single","Women","fearful",0.769230769230769,0.666666666666667,0.714285714285714,0.788461538461538,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",24,"Denmark","White","For  new friends, long-term dating","Who are single","Women","secure",0.884615384615385,0.85,0.880952380952381,0.865384615384615,0,0.0416666666666667
"Single","Woman","Straight",23,"Netherlands","Black, White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.961538461538462,0.9,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Bisexual",28,"WA","Asian, White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Everyone","secure",0.846153846153846,0.85,0.869047619047619,0.865384615384615,0,0
"Single","Man","Straight",28,"France","Hispanic / Latin, White","For  short-term dating","Who are single","Women","avoidant",0.769230769230769,0.433333333333333,0.547619047619048,0.75,0.0714285714285714,0.166666666666667
"Single","Man","Bisexual",28,"NY","Pacific Islander","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Everyone","avoidant",0.384615384615385,0.6,0.547619047619048,0.788461538461538,0,0.0833333333333333
"Single","Man","Straight",41,"Ontario","Other","For  long-term dating","Who are single","Women","secure",0.884615384615385,0.9,0.916666666666667,0.865384615384615,0,0
"Single","Woman","Straight",33,"CA","Asian, Pacific Islander","For  new friends, long-term dating, short-term dating","Who are single","Men who like women","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",30,"TX","White","For  new friends","Who are single","Women","secure",0.923076923076923,0.866666666666667,0.904761904761905,0.865384615384615,0,0.166666666666667
"Single","Woman","Straight",30,"IL","Asian","For  new friends, long-term dating, short-term dating","Who are single","Men","avoidant",0.961538461538462,0.866666666666667,0.916666666666667,0.788461538461538,0,0.0833333333333333
"Single","Man","Straight",25,"UK","Indian","For  new friends","Who are single","Women","avoidant",0.807692307692308,0.85,0.857142857142857,0.826923076923077,0,0.0833333333333333
"Single","Man","Straight",33,"NY","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","anxious",0.884615384615385,0.816666666666667,0.857142857142857,0.788461538461538,0,0
"Single","Woman","Straight",21,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",37,"UK","Middle Eastern","For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",23,"UK","Asian","For  long-term dating, short-term dating","Who are single","Women","avoidant",0.923076923076923,0.866666666666667,0.904761904761905,0.788461538461538,0,0.0833333333333333
"Single","Woman","Straight",27,"Turkey",NA,"For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",24,"NY","White","For  long-term dating, short-term dating","Who are single","Women","avoidant",0.807692307692308,0.833333333333333,0.845238095238095,0.788461538461538,0,0.0833333333333333
"Single","Man","Gay",29,"CA","White, Other","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.884615384615385,0.466666666666667,0.607142857142857,0.884615384615385,0.214285714285714,0.166666666666667
"Single","Woman","Straight",34,"France",NA,"For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",31,"TX","White","For  long-term dating","Who are single","Men","fearful",0.961538461538462,0.833333333333333,0.892857142857143,0.711538461538462,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",25,"AZ","Black, Hispanic / Latin, White","For  new friends, long-term dating","Who are single","Women","secure",0.884615384615385,0.733333333333333,0.797619047619048,0.903846153846154,0,0.166666666666667
"Single","Man","Straight",18,"NY","Hispanic / Latin","For  new friends","Who are single","Women","secure",0.846153846153846,0.883333333333333,0.892857142857143,0.865384615384615,0,0
"Single","Woman","Straight",25,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Men who like women","secure",0.807692307692308,0.9,0.892857142857143,0.903846153846154,0,0.0833333333333333
"Single","Man","Straight",34,"UK","Other","For  new friends, short-term dating, casual sex","Who are single","Women","secure",0.884615384615385,0.916666666666667,0.928571428571429,0.865384615384615,0,0
"Single","Woman","Straight",23,"UK","White","For  new friends","Who are single","Men","secure",0.846153846153846,0.75,0.797619047619048,0.865384615384615,0,0
"Single","Woman","Straight",22,"Ireland",NA,"For  new friends","Who are single","Men","secure",0.807692307692308,0.916666666666667,0.904761904761905,0.865384615384615,0,0
"Single","Man","Straight",36,"UK",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",27,"LA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","anxious",0.884615384615385,0.766666666666667,0.821428571428571,0.788461538461538,0,0
"Single","Man","Straight",44,"KY","White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.923076923076923,0.766666666666667,0.833333333333333,0.673076923076923,0,0
"Single","Man","Bisexual",25,"Australia",NA,"For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","avoidant",0.807692307692308,0.583333333333333,0.642857142857143,0.826923076923077,0.178571428571429,0.25
"Single","Man","Straight",25,"TX","Indian","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0.166666666666667
"Single","Man","Straight",31,"MO","White","For  new friends, long-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",27,"LA","White","For  new friends","Who are single","Men","anxious",0.807692307692308,0.783333333333333,0.80952380952381,0.788461538461538,0,0
"Single","Woman","Straight",24,"FL","Native American, Hispanic / Latin, White, Other","For  new friends","Who are single","Men","avoidant",0.923076923076923,0.833333333333333,0.880952380952381,0.846153846153846,0.0714285714285714,0.166666666666667
"Single","Woman","Straight",28,"NY",NA,"For  long-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0.166666666666667
"Single","Man","Straight",25,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",34,"FL","White","For  new friends, long-term dating, short-term dating","Who are single","Men","avoidant",1,0.916666666666667,0.964285714285714,0.826923076923077,0.0714285714285714,0.125
"Single","Man","Straight",22,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.884615384615385,0.8,0.845238095238095,0.865384615384615,0,0
"Single","Woman","Straight",39,"Philippines",NA,"For  new friends","Who are single","Men","secure",0.846153846153846,0.883333333333333,0.892857142857143,0.865384615384615,0,0
"Single","Man","Straight",40,"Israel","White, Other","For  new friends, short-term dating","Who are single","Women","secure",0.884615384615385,0.633333333333333,0.726190476190476,0.865384615384615,0.0357142857142857,0.0416666666666667
"Single","Man","Straight",47,"NJ","White","For  new friends, long-term dating","Who are single","Women","avoidant",0.807692307692308,0.733333333333333,0.773809523809524,0.673076923076923,0.107142857142857,0.291666666666667
"Single","Man","Straight",27,"UK","White","For  new friends","Who are single","Women","avoidant",0.923076923076923,0.9,0.928571428571429,0.788461538461538,0,0.166666666666667
"Single","Man","Straight",32,"MA","Hispanic / Latin","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.733333333333333,0.80952380952381,0.865384615384615,0,0
"Single","Woman","Bisexual",27,"Ireland","White","For  new friends","Who are single","Everyone","avoidant",0.923076923076923,0.916666666666667,0.94047619047619,0.788461538461538,0,0.0833333333333333
"Single","Woman","Straight",31,"SD","White","For  new friends","Who are single","Men","avoidant",0.961538461538462,0.716666666666667,0.80952380952381,0.826923076923077,0.0714285714285714,0.125
"Single","Woman","Straight",42,"CA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","anxious",0.923076923076923,0.866666666666667,0.904761904761905,0.826923076923077,0,0
"Single","Man","Straight",27,"TX","White","For  new friends, long-term dating, short-term dating","Who are single","Women","fearful",0.807692307692308,0.666666666666667,0.726190476190476,0.75,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",29,"UK","White, Other","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.923076923076923,0.85,0.892857142857143,0.788461538461538,0,0.0833333333333333
"Single","Woman","Gay",27,"IL","Black","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.538461538461538,0.616666666666667,0.607142857142857,0.807692307692308,0,0.0416666666666667
"Single","Woman","Bisexual",34,"Denmark","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.692307692307692,0.55,0.607142857142857,0.865384615384615,0,0
"Single","Woman","Straight",33,"CO","White","For  new friends, long-term dating","Who are single","Men","anxious",0.923076923076923,0.85,0.892857142857143,0.596153846153846,0,0
"Single","Man","Straight",51,"TX","Asian","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.923076923076923,0.816666666666667,0.869047619047619,0.826923076923077,0,0
"Single","Man","Straight",36,"FL",NA,"For  new friends, long-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",26,"NY","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.884615384615385,0.9,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",28,"Mexico","Hispanic / Latin","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.846153846153846,0.783333333333333,0.821428571428571,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",37,"IL",NA,"For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.961538461538462,0.783333333333333,0.857142857142857,0.75,0,0
"Single","Woman","Straight",34,"CA","Hispanic / Latin","For  new friends","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",29,"MA","White","For  long-term dating, short-term dating","Who are single","Women","secure",0.615384615384615,0.516666666666667,0.55952380952381,0.865384615384615,0.0714285714285714,0
"Single","Man","Straight",31,"NY","Hispanic / Latin, White","For  new friends","Who are single","Women","secure",0.884615384615385,0.866666666666667,0.892857142857143,0.865384615384615,0,0
"Single","Man","Straight",27,"UK","Black","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",34,"PA","White","For  new friends, long-term dating","Who are single","Men","fearful",1,0.85,0.916666666666667,0.769230769230769,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",29,"Quebec","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","anxious",0.923076923076923,0.75,0.821428571428571,0.596153846153846,0.142857142857143,0
"Single","Woman","Straight",33,"TX","White","For  new friends, long-term dating, short-term dating","Who are single","Men","anxious",0.923076923076923,0.866666666666667,0.904761904761905,0.788461538461538,0,0
"Single","Woman","Straight",30,"WA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",23,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.884615384615385,0.683333333333333,0.761904761904762,0.865384615384615,0,0
"Single","Man","Straight",51,"MI","White","For  long-term dating, short-term dating","Who are single","Women","anxious",0.769230769230769,0.633333333333333,0.69047619047619,0.826923076923077,0.142857142857143,0
"Single","Woman","Straight",29,"United Arab Emirates",NA,"For  new friends","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",38,"MD","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.5,0.566666666666667,0.55952380952381,0.884615384615385,0.25,0.166666666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,"secure",0.884615384615385,0.8,0.845238095238095,0.865384615384615,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",35,"South Africa",NA,"For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.769230769230769,0.85,0.845238095238095,0.865384615384615,0,0
"Single","Man","Straight",24,"PR",NA,"For  new friends","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",41,"TX",NA,"For  long-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",31,"OH","Black, Native American","For  new friends, short-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",34,"CA","Asian, White","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",1,0.75,0.845238095238095,0.480769230769231,0.25,0.375
"Single","Man","Straight",34,"UK","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.807692307692308,0.883333333333333,0.880952380952381,0.865384615384615,0,0
"Single","Woman","Straight",31,"Indonesia","Asian","For  new friends","Who are single","Men","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0.0714285714285714,0.0833333333333333
"Married","Man","Bisexual",34,"UK","White","For  new friends","Who are single","Men","anxious",0.692307692307692,0.883333333333333,0.845238095238095,0.788461538461538,0,0
"Single","Woman","Bisexual",22,"NY",NA,"For  new friends","Who are single","Everyone","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,"secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",49,"FL","White","For  new friends, long-term dating, short-term dating","Who are single","Women","fearful",0.923076923076923,0.833333333333333,0.880952380952381,0.826923076923077,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",20,"NJ","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.846153846153846,0.783333333333333,0.821428571428571,0.865384615384615,0,0.125
"Single","Woman","Bisexual",30,"NY","Hispanic / Latin","For  new friends, long-term dating, short-term dating","Who are single","Everyone","anxious",0.807692307692308,0.883333333333333,0.880952380952381,0.788461538461538,0,0
"Single","Man","Straight",42,"FL","White","For  new friends, long-term dating, short-term dating","Who are single","Women","avoidant",0.846153846153846,0.833333333333333,0.857142857142857,0.788461538461538,0,0.0416666666666667
"Single","Man","Straight",41,"VA","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","fearful",0.923076923076923,0.533333333333333,0.666666666666667,0.807692307692308,0.142857142857143,0.166666666666667
"Single","Woman","Straight",33,"NY",NA,"For  new friends, long-term dating","Who are single","Men","secure",1,0.866666666666667,0.928571428571429,0.923076923076923,0.0357142857142857,0.0833333333333333
"Single","Woman","Straight",28,"Netherlands","White","For  new friends, long-term dating","Who are single","Men","secure",0.923076923076923,0.9,0.928571428571429,0.865384615384615,0,0.166666666666667
"Single","Man","Straight",31,"MD","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",28,"LA","White","For  new friends, long-term dating","Who are single","Men","secure",0.846153846153846,0.816666666666667,0.845238095238095,0.865384615384615,0,0.125
"Single","Man","Straight",26,"TX","Native American, White","For  new friends","Who are single","Women","avoidant",0.769230769230769,0.8,0.80952380952381,0.576923076923077,0.0714285714285714,0.166666666666667
"Single","Man","Straight",30,"Denmark","White","For  short-term dating, casual sex","Who are single","Women","secure",0.884615384615385,0.833333333333333,0.869047619047619,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",37,"WA","White","For  long-term dating","Who are single","Women","secure",1,0.816666666666667,0.892857142857143,0.865384615384615,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",36,"Australia","White","For  new friends","Who are single","Women","fearful",0.923076923076923,0.75,0.821428571428571,0.711538461538462,0.0714285714285714,0.0833333333333333
"Single","Man","Straight",26,"PA","Hispanic / Latin","For  new friends, short-term dating, casual sex","Who are single","Women","anxious",0.730769230769231,0.733333333333333,0.75,0.634615384615385,0.0714285714285714,0
"Single","Man","Gay",34,"Germany","White","For  new friends, long-term dating, short-term dating","Who are single","Men","avoidant",0.846153846153846,0.816666666666667,0.821428571428571,0.480769230769231,0.0357142857142857,0.291666666666667
"Single","Man","Straight",25,"WA","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.807692307692308,0.816666666666667,0.833333333333333,0.923076923076923,0.0714285714285714,0
"Single","Man","Straight",29,"OR","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","anxious",0.538461538461538,0.583333333333333,0.583333333333333,0.75,0.107142857142857,0.0833333333333333
"Single","Man","Straight",23,"NY","Asian","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Women","secure",0.807692307692308,0.85,0.857142857142857,0.865384615384615,0,0
"Single","Woman","Straight",42,"Italy","White","For  new friends, long-term dating, short-term dating","Who are single","Men who like women","anxious",0.615384615384615,0.766666666666667,0.738095238095238,0.788461538461538,0,0
"Single","Woman","Straight",37,"WA","White","For  long-term dating","Who are single","Men","anxious",0.961538461538462,0.85,0.904761904761905,0.826923076923077,0.107142857142857,0.0833333333333333
"Single","Man","Straight",25,"NY","White","For  long-term dating, short-term dating","Who are single","Women","avoidant",0.807692307692308,0.866666666666667,0.869047619047619,0.788461538461538,0,0.0833333333333333
"Single","Man","Gay",25,"DC","White","For  new friends, long-term dating, short-term dating, casual sex","Who are single","Men","secure",0.884615384615385,0.9,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",34,"TX","Native American, White","For  new friends, long-term dating, short-term dating","Who are single","Women","anxious",0.923076923076923,0.883333333333333,0.916666666666667,0.788461538461538,0,0
"Single","Woman","Straight",28,"CA","Black, White, Other","For  new friends","Who are single","Everyone","fearful",0.769230769230769,0.883333333333333,0.869047619047619,0.711538461538462,0.0714285714285714,0.0833333333333333
"Single","Woman","Straight",39,"MA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.961538461538462,0.833333333333333,0.892857142857143,0.923076923076923,0,0
"Single","Woman","Straight",33,"NV","Hispanic / Latin","For  new friends, long-term dating, short-term dating","Who are single","Men","avoidant",0.961538461538462,0.883333333333333,0.928571428571429,0.807692307692308,0.0714285714285714,0.25
"Single","Woman","Straight",24,"CA","White","For  new friends, short-term dating","Who are single","Men who like women","secure",0.884615384615385,0.85,0.880952380952381,0.865384615384615,0,0
"Single","Woman","Straight",21,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Men who like women","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Man","Straight",22,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.884615384615385,0.9,0.916666666666667,0.865384615384615,0,0
"Single","Man","Straight",20,"CA","Black, Other","For  long-term dating, short-term dating","Who are single","Women","avoidant",0.807692307692308,0.883333333333333,0.880952380952381,0.826923076923077,0,0.0833333333333333
"Single","Woman","Straight",29,"Ontario","Other","For  new friends, long-term dating, short-term dating","Who are single","Men","anxious",0.884615384615385,0.883333333333333,0.904761904761905,0.673076923076923,0,0
"Single","Woman","Straight",29,"FL","Hispanic / Latin, White","For  short-term dating","Who are single","Men","secure",0.961538461538462,0.816666666666667,0.880952380952381,0.903846153846154,0,0.166666666666667
"Single","Woman","Straight",23,"UK","White","For  new friends, long-term dating","Who are single","Men","secure",0.884615384615385,0.816666666666667,0.857142857142857,0.865384615384615,0,0.208333333333333
"Single","Man","Straight",29,"FL","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",0.961538461538462,0.9,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",30,"OR","White","For  new friends, long-term dating, short-term dating","Who are single","Men","avoidant",0.884615384615385,0.583333333333333,0.69047619047619,0.788461538461538,0.178571428571429,0.375
"Single","Man","Straight",21,"NJ","Indian","For  long-term dating, short-term dating, casual sex","Who are single","Women","avoidant",0.884615384615385,0.65,0.738095238095238,0.788461538461538,0,0.0833333333333333
"Single","Woman","Straight",25,"TX","Hispanic / Latin","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.884615384615385,0.7,0.773809523809524,0.923076923076923,0,0
"Single","Woman","Straight",36,"CA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.903846153846154,0,0
"Single","Man","Straight",27,"Hong Kong",NA,"For  short-term dating, casual sex","Who are single","Women","secure",0.923076923076923,0.883333333333333,0.916666666666667,0.865384615384615,0,0
"Single","Woman","Straight",35,"NY","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0
"Single","Woman","Straight",26,"FL","Hispanic / Latin, White","For  new friends, long-term dating","Who are single","Men","avoidant",0.923076923076923,0.833333333333333,0.880952380952381,0.826923076923077,0,0.0833333333333333
"Single","Woman","Straight",29,"CA","White","For  new friends","Who are single","Men","secure",0.846153846153846,0.883333333333333,0.892857142857143,0.865384615384615,0,0
"Single","Woman","Straight",23,"LA","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.730769230769231,0.733333333333333,0.75,0.865384615384615,0,0.0416666666666667
"Single","Woman","Straight",35,"China","Asian","For  new friends, long-term dating","Who are single","Men","secure",0.961538461538462,0.883333333333333,0.928571428571429,0.865384615384615,0,0.0833333333333333
"Single","Man","Straight",32,"Manitoba","White","For  new friends, long-term dating, short-term dating","Who are single","Women","secure",1,0.783333333333333,0.869047619047619,0.903846153846154,0,0
"Single","Man","Straight",32,"NY","White","For  long-term dating, short-term dating","Who are single","Women","secure",0.884615384615385,0.916666666666667,0.928571428571429,0.865384615384615,0,0
"Single","Man","Gay",25,"UK","White","For  new friends, long-term dating","Who are single","Men","secure",0.923076923076923,0.916666666666667,0.94047619047619,0.865384615384615,0,0.0833333333333333
"Single","Woman","Bisexual",28,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","All who like bi women","secure",0.846153846153846,0.9,0.904761904761905,0.865384615384615,0,0
"Single","Man","Straight",31,"UK","White","For  new friends, long-term dating, short-term dating","Who are single","Women","fearful",0.884615384615385,0.766666666666667,0.821428571428571,0.634615384615385,0.178571428571429,0.208333333333333
"Single","Woman","Bisexual",31,"NY","White","For  new friends, long-term dating, short-term dating","Who are single","Men","secure",0.807692307692308,0.816666666666667,0.833333333333333,0.865384615384615,0.0714285714285714,0.0833333333333333
"Single","Woman","Straight",30,"China","White","For  new friends, long-term dating","Who are single","Men","avoidant",0.846153846153846,0.65,0.726190476190476,0.634615384615385,0,0.166666666666667
"Single","Man","Straight",52,"CA","White","For  long-term dating","Who are single","Women","anxious",0.923076923076923,0.916666666666667,0.94047619047619,0.634615384615385,0,0
"Single","Woman","Straight",46,"British Columbia","White","For  short-term dating","Who are single","Men","anxious",0.653846153846154,0.716666666666667,0.714285714285714,0.75,0.0714285714285714,0
